"filename", "language", "Dart", "JSON", "XML", "comment", "blank", "total"
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 25, 0, 0, 25
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\drawable\android12splash.xml", "XML", 0, 0, 25, 0, 1, 26
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 25, 0, 0, 25
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\AboutUs.dart", "Dart", 299, 0, 0, 4, 11, 314
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\ContactUs.dart", "Dart", 212, 0, 0, 0, 7, 219
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\HomePage.dart", "Dart", 107, 0, 0, 1, 3, 111
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\PrivacyPolicy.dart", "Dart", 135, 0, 0, 3, 9, 147
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\SignUpUser.dart", "Dart", -84, 0, 0, -18, -2, -104
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\UserHomePage.dart", "Dart", 44, 0, 0, -4, 3, 43
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\askForLogin.dart", "Dart", 61, 0, 0, -2, 1, 60
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\generated\intl\messages_ar.dart", "Dart", 189, 0, 0, 0, 0, 189
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\generated\intl\messages_en.dart", "Dart", 53, 0, 0, 0, 0, 53
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\generated\intl\messages_ps.dart", "Dart", 214, 0, 0, 0, 0, 214
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\generated\l10n.dart", "Dart", 154, 0, 0, 23, 23, 200
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\l10n\intl_ar.arb", "JSON", 0, 97, 0, 0, 6, 103
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\l10n\intl_en.arb", "JSON", 0, 23, 0, 0, -4, 19
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\l10n\intl_ps.arb", "JSON", 0, 103, 0, 0, 7, 110
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\login.dart", "Dart", 68, 0, 0, -4, 0, 64
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\main.dart", "Dart", 112, 0, 0, 0, 5, 117
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\officeHomePage.dart", "Dart", 43, 0, 0, -4, 2, 41
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\officeLogin.dart", "Dart", 56, 0, 0, -7, 2, 51
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\postsDetail.dart", "Dart", 60, 0, 0, -29, 4, 35
"Total", "-", 1723, 223, 75, -37, 78, 2062